"E10.5","ENCFF898EWU","ENCFF403SQM","ENCFF429ISC","ENCFF445IOU","ENCFF069IQM","ENCFF981WQT",NA,NA
"E11.5","ENCFF001ZTX","ENCFF001ZTY","ENCFF954LPU","ENCFF107TLH","ENCFF123MKU","ENCFF952SFK","ENCFF419LDW","ENCFF083TDB"
"E12.5","ENCFF232IYQ","ENCFF470QWO","ENCFF811HJY","ENCFF326UOO","ENCFF115BHE","ENCFF128OTX","ENCFF413XTH","ENCFF199UBT"
"E13.5","ENCFF596BNN","ENCFF053SSJ","ENCFF406FUF","ENCFF900XIV","ENCFF388QNU","ENCFF106YCA","ENCFF401VUV","ENCFF721LGJ"
"E14.5","ENCFF002AME","ENCFF002AMD","ENCFF002AFY","ENCFF002AFZ","ENCFF002AJC","ENCFF002AJE","ENCFF048MTG","ENCFF633MTW"
"E15.5","ENCFF212KTV","ENCFF082LJL","ENCFF096XZW","ENCFF079GEV","ENCFF482TKQ","ENCFF086BUY","ENCFF906VXU","ENCFF248PXW"
"E16.5","ENCFF002BWS","ENCFF002BWU","ENCFF002ESD","ENCFF002ESA","ENCFF002ESR","ENCFF002EST","ENCFF776GDQ","ENCFF058IAE"
